year,name,lyrics
1985,Stand Up For Singapore,"Stand up for Singapore, do the best you can
Reach out for your fellow man
You’ve got to make a stand
Recognise you can play your part
Let it come right from your heart
Be prepared to give a little more
Stand up, stand up for Singapore
Stand up for Singapore, do it with a smile
If you stand up for Singapore
You’ll find it all worthwhile
Believe in yourself, you’ve got something to share
So show us all you really care
Be prepared to give a little more
Stand up, stand up for Singapore Singapore our home and nation
Together with determination
Join in like we’ve never done before
Stand up, stand up for Singapore"
1986,Count On Me Singapore,"We have a vision for tomorrow, just believe, just believe
We have a goal for Singapore, we can achieve, we can achieve
You and me, we’ll do our part, stand together, heart to heart
We’re going to show the world what Singapore can be
We can achieve, we can achieve
There is something down the road that we can strive for
We are told no dream’s too bold that we can’t try for
There’s a spirit in the air, it’s a feeling we all share
We’re going to build a better life, for you and me
We can achieve, we can achieve
Count on me Singapore, count on me to give my best and more
You and me, we’ll do our part, stand together, heart to heart
We’re going to show the world what Singapore can be
We can achieve, we can achieve
Count on me Singapore, Count on me Singapore
Count on me to give my best and more, count on me Singapore"
1987,We Are Singapore,"There was a time when people said
That Singapore won’t make it, but we did
There was a time when troubles seemed too much
For us to take, but we did
We built a nation, strong and free, reaching out together
For peace and harmony
This is my country, this is my flag
This is my future, this is my life
This is my family, these are my friends
We are Singapore, Singaporeans
Singapore our homeland, it’s here that we belong
All of us united, one people marching on
We’ve come so far together, our common destiny
Singapore forever, a nation strong and free
We the citizens of Singapore
Pledge ourselves as one united people
Regardless of race, language or religion
To build a democratic society
Based on justice and equality
So as to achieve happiness
Prosperity and progress for our nation
We are Singapore, we are Singapore
We will stand together, hear the lion roar
We are Singapore, we are Singapore
We’re a nation strong and free forevermore"
1989,Five Stars Arising,"There's a new moon arising, out of the stormy sea
Youthful and bright and bearing hope, and tranquil as can be
Reach out for the moon above, savour freedom, truth and love
There's a new moon arising, out of the stormy sea
There are five stars arising, out of the stormy sea
Each is a lamp to guide our way; a lamp for all to see
Reach out for the stars above, savour freedom, truth and love
There are five stars arising, out of the stormy sea
There's a new flag arising, out of the stormy sea
Crimson as the blood of all mankind, yet white and pure and free
Reach out for the flag above, savour freedom, truth and love
There's a new flag arising, happy and proud are we"
1991,It’s the Little Things,"Over the years, I've grown to be a part of you
You've cared for me and opened the way to a happy and beautiful life
You make me feel warm and safe and give me hope for brighter days
It's the little things that we share, the love and joy that's in the air
The children's laughter everywhere, and all our favourite things
Over the years, I've grown accustomed to your ways
And no matter where I'll be, it warms my heart to know that
You're always here for me
Over the years, I've learnt we share a destiny
And no matter how good others may be
No one cares like you care for me
Cause deep down inside I feel you're a part of me
My Singapore, the place that I call my Home"
1995,My People My Home,"Who are you, my country?
More than celebrations and tears
More than memories put together
Or the summing up of years
I see you enduring all weathers
Sunshine and storms at your heart
In your face the lines ever changing
Tell the story where I have a part
You, My people, My home
Our lives defend and uphold
May the good we achieve as one nation
Be shared with the world
As a new chapter begins
From where we have come thus far
Once again may it be written
You are who we are
In you may we see ourselves
Your needs your strength in us
That the work for freedom and peace
Is mine as much as ours
You, My people, My home
Our lives defend and uphold
May the good we achieve as one nation
Be shared with the world
May the good we achieve as one nation
Be shared with the world"
1996,Count On Me Singapore,"We have a vision for tomorrow, just believe, just believe
We have a goal for Singapore, we can achieve, we can achieve
You and me, we’ll do our part, stand together, heart to heart
We’re going to show the world what Singapore can be
We can achieve, we can achieve
There is something down the road that we can strive for
We are told no dream’s too bold that we can’t try for
There’s a spirit in the air, it’s a feeling we all share
We’re going to build a better life, for you and me
We can achieve, we can achieve
Count on me Singapore, count on me to give my best and more
You and me, we’ll do our part, stand together, heart to heart
We’re going to show the world what Singapore can be
We can achieve, we can achieve
Count on me Singapore, Count on me Singapore
Count on me to give my best and more, count on me Singapore"
1997,Singapore Town,"You could take a little trip around Singapore town
In Singapore city bus
To see Collyer Quay and Raffles Place
The Esplanade and all of us
Because in Singapore, Singapore
Their hearts are big and wide you'll find
Because in Singapore, Singapore
You'll find happiness for everyone
Let's go down to the riverside, it's an unforgettable sight
To see the sunrise on a faraway isle, turning darkness into light
The buildings are climbing all the way to the sky
And there's a hundred other people who are striving
For people like you and I"
1998,Home,"Whenever I am feeling low
I look around me and I know
There's a place that will stay within me
Wherever I may choose to go
I will always recall the city
Know every street and shore
Sail down the river which brings us life
Winding through my SingaporeThis is home truly, where I know I must be
Where my dreams wait for me, where the river always flows
This is home surely, as my senses tell me
This is where I won't be alone, for this is where I know it's home"
1999,Together,"Let us be together aspire to achieve
No matter what, no matter when,
Working hand in hand
Let us go the distance, reach for goals that shine
Creating our future, with everyone in mind
Together we make a difference, one voice, one destiny
We remain undivided, our hearts in harmony
Together we make a difference, our friends, our families
We will share a special dream
Together we feel the Singapore heartbeat
Let us find in our strides, new strength to go on by
Nothing is ever easy, we have to hold on and strive
Let us never be afraid, if we have to change our ways
Through the years, we'll always stay, one in every way
We will share a special dream
Together we feel the Singapore heartbeat
Singapore heartbeat"
